track_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
I Wish you Roses,0.467,0.624,10,-8.511,0,0.0508,0.143,0.000899,0.145,0.31,141.889,not_rap
people pleaser,0.692,0.758,3,-3.453,0,0.0522,0.158,0.0,0.0774,0.701,94.058,not_rap
One Of Us,0.626,0.842,0,-3.827,0,0.0357,0.014,0.0,0.235,0.55,145.03,not_rap
Can't Tame Her,0.584,0.915,6,-3.199,0,0.11,0.00686,0.000155,0.098,0.57,181.882,not_rap
Men On The Moon,0.552,0.517,8,-7.906,1,0.0245,0.0211,0.00612,0.152,0.105,79.512,not_rap
About You,0.705,0.568,7,-5.32,1,0.0439,0.614,0.0,0.0774,0.354,150.743,not_rap
Pointless,0.325,0.59,4,-3.943,1,0.0495,0.0686,0.0,0.104,0.278,180.449,not_rap
messy in heaven,0.62,0.837,8,-4.356,0,0.13,0.128,0.000242,0.242,0.433,172.081,not_rap
Luv Me A Little (feat. Nina Nesbitt),0.478,0.769,5,-5.092,1,0.0448,0.168,0.0,0.156,0.157,155.998,not_rap
Midnight Rain,0.643,0.363,0,-11.738,1,0.0767,0.69,5.17e-05,0.115,0.23,139.865,not_rap
The Lows,0.668,0.618,1,-7.148,0,0.173,0.108,0.0,0.0951,0.812,170.023,not_rap
Girl Like Me,0.729,0.646,5,-7.953,0,0.0686,0.0248,0.0,0.168,0.54,125.007,not_rap
Sorry To Me Too,0.682,0.642,11,-6.765,0,0.0825,0.391,0.000271,0.107,0.387,148.127,not_rap
Nobody Gets Me,0.358,0.284,7,-8.285,1,0.0285,0.805,0.0,0.183,0.276,99.796,not_rap
I'll Be Waiting,0.514,0.651,1,-4.039,1,0.043,0.349,0.0,0.0776,0.525,155.913,not_rap
GOSSIP (feat. Tom Morello),0.706,0.821,9,-2.974,1,0.0617,0.00164,0.0,0.0981,0.918,139.914,not_rap
One Life,0.463,0.827,6,-4.43,0,0.219,0.216,0.0,0.145,0.399,173.719,not_rap
Stick Season,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,not_rap
In The Kitchen,0.364,0.294,0,-6.578,0,0.0504,0.833,0.0,0.264,0.125,79.477,not_rap
10:35,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,not_rap
Hero,0.534,0.696,9,-5.211,0,0.0694,0.316,0.0,0.248,0.251,168.149,not_rap
brrr,0.569,0.808,3,-5.203,0,0.171,0.091,0.0,0.173,0.449,146.902,not_rap
Bad Idea,0.802,0.628,7,-6.576,0,0.122,0.0311,0.000232,0.262,0.625,96.97,not_rap
Ditto,0.814,0.641,6,-5.957,0,0.111,0.027,0.0,0.0993,0.183,133.854,not_rap
Ghost of You,0.737,0.858,3,-4.1,1,0.0648,0.0537,0.0,0.0825,0.65,126.254,not_rap
blame's on me,0.306,0.121,1,-17.118,0,0.0396,0.863,0.0,0.167,0.238,159.08,not_rap
October Passed Me By,0.445,0.367,0,-13.086,1,0.0452,0.761,0.075,0.0987,0.202,155.675,not_rap
uh oh,0.625,0.604,10,-7.415,0,0.339,0.257,2.06e-05,0.129,0.372,174.089,not_rap
Back To You,0.679,0.548,0,-7.495,1,0.0298,0.234,0.0,0.189,0.413,115.954,not_rap
How Could You,0.573,0.17,11,-10.576,1,0.0555,0.834,3.08e-06,0.108,0.28,146.749,not_rap
My Mind & Me,0.6,0.389,9,-5.727,1,0.0337,0.566,0.0,0.0826,0.244,143.577,not_rap
Teenage Dream,0.615,0.361,10,-9.57,1,0.028,0.38,0.0,0.0844,0.244,111.991,not_rap
Something in the Orange,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,not_rap
Locksmith,0.566,0.348,1,-10.726,1,0.0458,0.559,7.66e-06,0.113,0.374,98.734,not_rap
Anti-Hero,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,not_rap
Nothing Is Lost (You Give Me Strength),0.52,0.693,5,-7.704,1,0.0331,0.0002,2.2e-05,0.122,0.12,126.985,not_rap
Boy's a liar,0.656,0.838,5,-8.407,1,0.041,0.25,0.00281,0.207,0.74,132.981,not_rap
Homesick,0.503,0.643,6,-6.494,1,0.0407,0.0261,2.27e-05,0.314,0.43,169.955,not_rap
"Wish on an Eyelash, Pt. 2",0.496,0.408,11,-10.35,0,0.0532,0.548,0.000577,0.313,0.33,102.073,not_rap
Rumble,0.81,0.836,1,-7.721,0,0.0645,0.0515,0.229,0.0598,0.0585,139.979,not_rap
VIBE (feat. Jimin of BTS),0.78,0.683,0,-5.319,1,0.0575,0.0801,0.0,0.22,0.608,100.049,not_rap
Die For You,0.472,0.518,8,-7.379,1,0.051,0.383,0.127,0.289,0.154,147.805,not_rap
Before You,0.269,0.373,8,-7.113,0,0.0371,0.15,0.0,0.129,0.321,202.899,not_rap
Here With Me,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,not_rap
Tripping Over Air,0.622,0.799,11,-4.811,1,0.0342,0.00185,1.08e-06,0.269,0.6,116.985,not_rap
Eyes On You,0.729,0.786,10,-4.357,1,0.0389,0.117,0.0,0.265,0.729,131.906,not_rap
Fall In Love Alone,0.676,0.625,7,-5.455,0,0.0711,0.316,0.000119,0.127,0.522,171.883,not_rap
Shut Up,0.378,0.614,1,-3.809,0,0.0761,0.13,0.0,0.309,0.451,175.937,not_rap
Satellite,0.741,0.73,7,-7.07,1,0.0349,0.0279,0.000264,0.0851,0.725,124.001,not_rap
AVA,0.578,0.471,3,-6.379,0,0.0417,0.155,0.0,0.0779,0.233,86.982,not_rap
STAR WALKIN' (League of Legends Worlds Anthem),0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,not_rap
Sick of U (with Oliver Tree),0.676,0.814,0,-3.213,1,0.0585,0.277,0.0,0.0953,0.601,92.554,not_rap
Oh Caroline,0.646,0.85,2,-5.466,1,0.0428,0.363,4.01e-05,0.0994,0.819,96.538,not_rap
Very Few Friends,0.777,0.469,6,-8.344,0,0.163,0.162,0.00239,0.108,0.557,136.05,not_rap
Loser,0.698,0.623,8,-7.845,0,0.037,0.623,0.0856,0.179,0.625,102.002,not_rap
Grapefruit,0.724,0.684,2,-5.129,1,0.0342,0.00134,0.000441,0.151,0.163,105.0,not_rap
Never Gonna Not Dance Again,0.668,0.802,5,-4.005,0,0.0917,0.0273,0.0,0.163,0.769,113.796,not_rap
You Know What I Need,0.768,0.896,6,-3.501,0,0.0969,0.0152,0.0,0.0412,0.829,109.959,not_rap
Too Late (with AJR),0.729,0.622,6,-6.931,0,0.087,0.0216,0.0,0.294,0.588,88.966,not_rap
I'm Not Here To Make Friends,0.698,0.895,0,-4.439,1,0.0628,0.172,1.45e-05,0.409,0.838,114.914,not_rap
Ghost,0.715,0.931,11,-3.548,0,0.0426,0.00573,0.00185,0.0549,0.615,119.971,not_rap
LLYLM,0.555,0.634,6,-5.522,0,0.273,0.129,2.32e-06,0.188,0.555,170.228,not_rap
Love Again,0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,not_rap
Evangeline,0.469,0.568,3,-7.084,1,0.0305,0.0817,0.0,0.146,0.193,109.172,not_rap
MUST BE NICE,0.539,0.338,2,-8.693,1,0.0299,0.911,0.0,0.106,0.247,99.786,not_rap
Body Better,0.653,0.781,2,-4.092,1,0.1,0.345,5.38e-06,0.365,0.864,118.017,not_rap
Red Flags,0.841,0.65,8,-5.627,1,0.131,0.021,4.15e-06,0.0694,0.748,129.979,not_rap
TRUSTFALL,0.636,0.888,8,-3.889,1,0.0945,0.00162,0.000216,0.147,0.25,122.032,not_rap
Voices (feat. Oliver Tree),0.729,0.549,2,-5.332,0,0.0292,0.0865,0.0,0.0951,0.624,95.012,not_rap
F64,0.751,0.618,6,-6.643,0,0.324,0.596,0.0,0.129,0.707,93.728,not_rap
That's What I Get,0.814,0.722,1,-5.487,1,0.0454,0.33,0.0,0.0713,0.47,142.959,not_rap
How To Drive,0.465,0.232,7,-14.004,1,0.0682,0.884,0.0,0.137,0.253,77.313,not_rap
BABY SAID,0.622,0.715,6,-4.04,0,0.0323,0.000982,0.0,0.0796,0.607,131.012,not_rap
Made You Look (feat. Kim Petras),0.809,0.531,10,-2.956,1,0.0735,0.298,0.0,0.0748,0.817,145.024,not_rap
You Only Love Me,0.67,0.727,7,-5.477,1,0.0689,0.277,0.0,0.52,0.412,110.151,not_rap
Can't Tame Her,0.584,0.915,6,-3.199,0,0.11,0.00686,0.000155,0.098,0.57,181.882,not_rap
Flowers,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,not_rap
Here,0.522,0.681,1,-5.073,1,0.0462,0.0791,0.0,0.194,0.343,120.469,not_rap
drunk text,0.382,0.401,0,-8.955,1,0.0851,0.286,0.0,0.0851,0.145,185.636,not_rap
I Can't Go Back To The Way It Was (Intro),0.439,0.43,10,-9.033,1,0.121,0.868,0.00145,0.115,0.15,146.73,not_rap
life after life,0.649,0.624,8,-7.428,1,0.108,0.189,0.0,0.111,0.163,147.899,not_rap
I Can Love Anyone (As Long As It's You),0.472,0.28,9,-9.061,1,0.0865,0.79,0.0,0.14,0.226,69.953,not_rap
Something’s Coming,0.514,0.825,0,-4.452,1,0.0748,0.111,0.0,0.333,0.411,119.985,not_rap
Luv Me A Little (feat. Nina Nesbitt),0.478,0.769,5,-5.092,1,0.0448,0.168,0.0,0.156,0.157,155.998,not_rap
brrr,0.569,0.808,3,-5.203,0,0.171,0.091,0.0,0.173,0.449,146.902,not_rap
Sugar Rush Ride,0.712,0.893,10,-3.995,0,0.0851,0.00788,0.0,0.169,0.828,125.022,not_rap
MONEY ON THE DASH,0.84,0.667,8,-7.126,1,0.0843,0.0439,1.34e-05,0.179,0.292,120.044,not_rap
SHOOTING STAR,0.625,0.712,2,-5.996,1,0.0539,0.0229,0.0,0.252,0.398,163.015,not_rap
COOL GIRL,0.777,0.446,0,-6.406,1,0.0298,0.303,0.0,0.0992,0.676,130.051,not_rap
Never Change,0.42,0.311,6,-6.453,1,0.0424,0.794,0.0,0.0785,0.193,159.994,not_rap
latenight,0.671,0.644,2,-6.517,1,0.0602,0.389,1.08e-06,0.0966,0.231,139.9,not_rap
Butterflies (feat. AURORA),0.326,0.157,4,-16.287,0,0.0415,0.971,0.138,0.191,0.3,178.711,not_rap
If I Ever,0.754,0.679,9,-5.594,0,0.0341,0.0839,0.0,0.0948,0.666,109.958,not_rap
Spam Calls,0.621,0.219,1,-14.751,1,0.0405,0.964,0.0118,0.115,0.288,118.969,not_rap
nervous,0.92,0.496,7,-7.93,1,0.0819,0.128,0.0,0.25,0.734,109.979,not_rap
A Letter To Everyone Who's Hurt Me,0.562,0.339,2,-12.66,1,0.0514,0.737,0.0,0.186,0.191,119.985,not_rap
How Dare You,0.362,0.406,7,-8.297,1,0.0449,0.418,0.0,0.0833,0.197,195.065,not_rap
Play Dumb,0.442,0.287,0,-8.224,1,0.0353,0.767,0.0,0.109,0.324,89.36,not_rap
In a Few Months,0.703,0.753,2,-6.32,1,0.125,0.0981,0.0,0.205,0.647,133.857,not_rap
The First Time,0.563,0.334,7,-6.941,1,0.0851,0.581,0.0,0.0508,0.569,82.898,not_rap
happier,0.37,0.572,1,-6.009,1,0.0557,0.0149,0.0,0.0306,0.409,89.894,not_rap
Read Your Mind,0.596,0.455,2,-7.4,1,0.0273,0.0319,0.0,0.153,0.149,86.869,not_rap
TREBUCHET,0.514,0.654,6,-6.031,1,0.0479,0.167,0.0,0.0838,0.519,83.147,not_rap
Getting Older,0.51,0.72,10,-4.389,1,0.0509,0.0707,0.0,0.222,0.48,85.557,not_rap
Dance Dance (feat. Alessandra),0.705,0.872,11,-6.093,0,0.0416,0.0135,0.00271,0.0805,0.815,124.048,not_rap
Story of a Boy,0.548,0.851,7,-4.497,1,0.144,0.0228,0.0,0.484,0.678,97.052,not_rap
Make A Scene,0.536,0.486,9,-7.228,1,0.0556,0.244,0.0043,0.466,0.484,172.051,not_rap
Die For Someone,0.687,0.696,0,-6.952,1,0.04,0.051,3.77e-05,0.18,0.416,136.056,not_rap
Caffeine,0.721,0.557,2,-10.756,1,0.353,0.538,0.0,0.108,0.469,89.984,not_rap
Better,0.723,0.802,8,-8.277,0,0.0271,0.172,0.0158,0.119,0.962,135.022,not_rap
Broken English,0.496,0.255,2,-12.102,1,0.0504,0.828,0.0,0.216,0.26,114.581,not_rap
Mantrum,0.695,0.686,1,-5.76,1,0.191,0.166,0.0,0.247,0.574,86.033,not_rap
My Stupid Heart,0.745,0.681,7,-7.91,1,0.0361,0.0696,0.0,0.164,0.613,115.0,not_rap
last one standing,0.461,0.206,8,-10.0,1,0.0341,0.891,0.0,0.136,0.328,104.547,not_rap
Inconvenient,0.276,0.443,2,-10.037,1,0.044,0.848,0.409,0.296,0.39,82.741,not_rap
Ashley,0.566,0.34,11,-8.294,1,0.0293,0.114,0.0,0.308,0.39,80.079,not_rap
Blue,0.817,0.508,0,-7.207,0,0.0873,0.235,2.14e-06,0.127,0.589,88.019,not_rap
Losses,0.642,0.87,1,-8.937,0,0.0703,0.232,1.27e-05,0.233,0.526,181.978,not_rap
Blinding Lights,0.41,0.332,3,-15.111,1,0.0365,0.818,0.451,0.102,0.113,136.348,not_rap
My Favorite Song,0.762,0.411,11,-7.088,1,0.0379,0.0703,0.000601,0.322,0.555,125.0,not_rap
Deadline,0.649,0.363,2,-10.019,1,0.0693,0.897,1.02e-06,0.106,0.512,171.945,not_rap
I Wish you Roses,0.467,0.624,10,-8.511,0,0.0508,0.143,0.000899,0.145,0.31,141.889,not_rap
overflow,0.319,0.68,10,-6.002,1,0.116,0.629,9.48e-05,0.11,0.0999,75.78,not_rap
Everyone And No One,0.314,0.507,1,-6.762,1,0.0563,0.478,0.0,0.0869,0.236,61.975,not_rap
Elephant In The Room,0.494,0.299,1,-12.741,1,0.0296,0.852,3.96e-06,0.176,0.48,76.642,not_rap
Rainbow,0.608,0.498,0,-10.013,1,0.0544,0.567,0.0,0.344,0.357,160.046,not_rap
Not My Problem,0.657,0.696,11,-4.403,0,0.0757,0.0569,0.0,0.356,0.51,75.044,not_rap
Don't Go Wasting Time,0.585,0.579,4,-4.847,1,0.0279,0.236,0.0,0.0914,0.127,130.027,not_rap
Breaking My Heart,0.591,0.75,2,-4.703,1,0.364,0.0519,0.0,0.102,0.572,194.151,not_rap
ALERGICA,0.607,0.87,6,-4.289,0,0.0471,0.115,0.0056,0.173,0.764,167.001,not_rap
LUV AGAIN,0.595,0.208,5,-11.957,1,0.0371,0.851,0.0,0.0943,0.484,117.253,not_rap
Recovering People Pleaser,0.519,0.708,5,-3.197,1,0.057,0.399,0.0,0.125,0.293,160.027,not_rap
sad on the weekend,0.668,0.35,3,-9.158,1,0.0389,0.588,0.0,0.125,0.333,146.017,not_rap
Replace You,0.853,0.676,4,-4.398,0,0.0616,0.0923,1.15e-05,0.0904,0.631,122.975,not_rap
it's not me (it's u),0.699,0.395,8,-8.867,1,0.0262,0.885,0.000519,0.359,0.248,100.033,not_rap
Ok,0.621,0.664,8,-5.241,1,0.143,0.0278,0.0,0.367,0.541,75.019,not_rap
Baby Don't Cry (feat. Young Thug),0.632,0.666,11,-4.803,1,0.176,0.0481,1.34e-05,0.0801,0.633,183.943,not_rap
Broke Boy,0.817,0.948,4,-3.615,1,0.15,0.0454,0.0025,0.34,0.882,99.987,not_rap
Does Anybody,0.537,0.498,7,-5.927,1,0.0788,0.692,0.0,0.219,0.25,162.914,not_rap
Chill the fck out,0.855,0.587,8,-6.019,1,0.0668,0.00615,0.00213,0.0839,0.84,124.007,not_rap
The Lows,0.668,0.618,1,-7.148,0,0.173,0.108,0.0,0.0951,0.812,170.023,not_rap
ur the devil and i’ve seen the truth (feat. Verzache),0.77,0.52,1,-8.897,1,0.0856,0.388,0.00095,0.102,0.582,99.99,not_rap
Can't Leave,0.499,0.696,7,-8.357,1,0.0448,0.376,9.23e-06,0.111,0.303,131.987,not_rap
Can't Change For You (feat. charlieonnafriday & Arden Jones),0.607,0.615,7,-6.93,0,0.255,0.194,1.98e-06,0.358,0.635,199.927,not_rap
Us and Pigs,0.493,0.321,8,-10.335,1,0.0332,0.802,2.95e-06,0.0926,0.0965,90.954,not_rap
THE ONE,0.678,0.88,11,-5.941,1,0.103,0.66,0.722,0.239,0.744,120.967,not_rap
Sick To My Stomach,0.698,0.803,8,-7.017,0,0.0448,0.359,1.79e-05,0.107,0.467,118.008,not_rap
I Do You,0.51,0.607,2,-7.169,1,0.0337,0.107,9.71e-06,0.0856,0.253,86.877,not_rap
temporary,0.513,0.502,5,-7.144,0,0.0855,0.46,0.000524,0.0952,0.282,125.305,not_rap
X-Tape (Want to Want Me),0.652,0.869,4,-5.663,1,0.083,0.0251,0.0,0.182,0.505,154.013,not_rap
Wasted (feat. Kodak Black & Koe Wetzel),0.674,0.753,3,-3.226,1,0.0388,0.00264,1.76e-06,0.0599,0.292,139.99,not_rap
All Your Friends,0.625,0.637,2,-9.576,1,0.0376,0.0543,0.0,0.0732,0.606,100.001,not_rap
Make U Mine,0.491,0.872,1,-6.255,0,0.32,0.0808,0.00854,0.518,0.585,150.045,not_rap
Someone On The Internet,0.785,0.442,8,-7.405,1,0.0391,0.0982,1.24e-06,0.357,0.349,97.986,not_rap
Kulture Klub,0.693,0.667,10,-5.939,0,0.0439,0.49,4.09e-05,0.378,0.489,144.147,not_rap
Big City Thing,0.67,0.865,6,-4.051,1,0.139,0.008,1.77e-06,0.0479,0.907,169.952,not_rap
hit the dirt,0.544,0.37,2,-10.205,1,0.0407,0.375,0.0,0.146,0.551,155.716,not_rap
Pray It Away,0.611,0.626,7,-5.087,1,0.0778,0.337,0.0,0.115,0.48,100.129,not_rap
Snooze,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,not_rap
Where I Go (feat. H.E.R.),0.62,0.396,1,-15.498,0,0.206,0.735,0.000985,0.0976,0.774,87.865,not_rap
Nothing Even Matters,0.545,0.768,4,-5.249,0,0.269,0.46,0.0,0.118,0.557,115.052,not_rap
Tell Me It's Over (feat. Summer Walker & 6LACK),0.702,0.472,5,-7.282,1,0.0967,0.389,0.0,0.112,0.39,122.083,not_rap
ICU,0.584,0.453,8,-6.682,1,0.0661,0.753,0.0,0.111,0.328,124.913,not_rap
Breaking Point,0.507,0.538,1,-7.454,1,0.0643,0.4,1.9e-05,0.161,0.239,111.458,not_rap
Queen Space (with Summer Walker),0.8,0.614,7,-6.255,0,0.0668,0.174,0.000176,0.0849,0.548,135.018,not_rap
I Wish you Roses,0.467,0.624,10,-8.511,0,0.0508,0.143,0.000899,0.145,0.31,141.889,not_rap
Do You Like Me?,0.714,0.407,11,-6.806,1,0.0422,0.522,0.00618,0.128,0.358,76.978,not_rap
Love Language,0.707,0.261,9,-10.139,0,0.0784,0.853,0.0,0.127,0.545,65.038,not_rap
Sure Thing,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,not_rap
Say You Want Me,0.884,0.658,0,-5.94,1,0.134,0.19,0.00164,0.103,0.502,112.978,not_rap
CUFF IT,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,not_rap
2 Sugar (feat. Ayra Starr),0.914,0.643,6,-3.862,0,0.134,0.0498,0.0,0.0618,0.764,105.033,not_rap
Apply Pressure,0.658,0.644,0,-9.268,0,0.398,0.455,9.71e-06,0.0955,0.37,89.779,not_rap
Feature Me,0.731,0.493,6,-4.96,0,0.0581,0.116,8.32e-06,0.0619,0.852,127.03,not_rap
ALL MINE,0.617,0.378,9,-8.54,1,0.0315,0.428,9.16e-05,0.11,0.22,141.967,not_rap
Shirt,0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,not_rap
I'm Baby (ft. Jvck James),0.521,0.565,11,-9.596,0,0.0681,0.136,1.65e-06,0.134,0.261,114.562,not_rap
Changes,0.745,0.622,7,-6.892,0,0.128,0.0992,0.0,0.0832,0.557,140.082,not_rap
PLASTIC OFF THE SOFA,0.618,0.712,1,-8.246,1,0.114,0.14,4.53e-06,0.575,0.305,97.057,not_rap
Fight for Love,0.836,0.411,6,-9.084,0,0.0325,0.42,0.382,0.0913,0.845,90.876,not_rap
Like Her Too,0.557,0.455,10,-6.469,0,0.0444,0.594,0.0,0.122,0.584,123.842,not_rap
FOREVER,0.766,0.518,8,-6.527,1,0.0835,0.744,2.23e-05,0.109,0.494,119.906,not_rap
FOREVER (with 6LACK),0.815,0.606,2,-4.496,0,0.0586,0.543,2.03e-05,0.114,0.484,114.009,not_rap
Die For You,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,not_rap
Let's Talk About It,0.506,0.531,1,-6.927,1,0.0855,0.53,0.0,0.108,0.707,136.961,not_rap
For the Night,0.462,0.821,5,-3.678,0,0.243,0.216,0.0,0.137,0.487,79.131,not_rap
Waste My Time,0.65,0.662,5,-7.555,0,0.0618,0.0287,0.0,0.34,0.628,77.011,not_rap
Obsession (feat. Muni Long) - Remix,0.667,0.55,7,-8.533,0,0.0702,0.497,0.0,0.111,0.49,107.005,not_rap
Spread Thin,0.621,0.411,6,-8.261,0,0.0333,0.0553,0.0,0.0816,0.357,110.113,not_rap
Blind,0.461,0.279,9,-11.776,0,0.0373,0.911,0.0,0.205,0.599,114.225,not_rap
Make Me Stay,0.739,0.371,4,-8.152,0,0.0511,0.358,4.27e-05,0.139,0.207,122.033,not_rap
DAYDREAM,0.723,0.461,4,-9.747,0,0.0776,0.623,4.89e-06,0.237,0.183,117.983,not_rap
Gotta Move On (feat. Bryson Tiller),0.699,0.679,9,-4.528,1,0.0556,0.55,0.0,0.0816,0.56,102.919,not_rap
Call Me Every Day (feat. Wizkid),0.73,0.634,4,-7.194,0,0.184,0.111,9.63e-06,0.0986,0.777,171.824,not_rap
Liquor (with Ari Lennox),0.542,0.664,1,-4.849,0,0.082,0.0826,0.0,0.131,0.57,63.112,not_rap
The Words,0.769,0.446,6,-6.572,1,0.0717,0.138,0.0,0.104,0.62,89.975,not_rap
So Be It,0.733,0.625,6,-5.319,1,0.176,0.166,0.0,0.118,0.255,132.248,not_rap
DO 4 LOVE,0.367,0.142,6,-12.717,0,0.0319,0.913,0.00367,0.107,0.1,69.827,not_rap
Bag Of You,0.345,0.418,7,-9.453,1,0.0408,0.736,0.0,0.259,0.162,75.592,not_rap
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,0.247,0.299,9,-6.083,1,0.0315,0.899,0.0,0.131,0.172,177.115,not_rap
Getting Late,0.538,0.659,3,-8.122,0,0.234,0.756,0.00044,0.109,0.542,88.791,not_rap
Guess,0.384,0.632,7,-6.736,0,0.403,0.447,0.00047,0.094,0.373,80.046,not_rap
JACKIE BROWN,0.726,0.353,10,-10.273,1,0.105,0.65,0.002,0.224,0.503,137.66,not_rap
Make You Mine,0.551,0.37,5,-10.194,0,0.0551,0.87,0.0,0.122,0.241,137.265,not_rap
Life Is Good (feat. Scribz Riley),0.659,0.675,1,-6.005,0,0.19,0.198,0.00129,0.108,0.19,146.049,not_rap
Unloyal (with Ari Lennox),0.805,0.51,4,-6.179,0,0.0569,0.0357,0.000469,0.108,0.36,127.983,not_rap
Such A Thing,0.565,0.464,0,-7.604,1,0.0581,0.777,0.0227,0.124,0.337,145.775,not_rap
Kill Bill,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,not_rap
Pray It Away,0.611,0.626,7,-5.087,1,0.0778,0.337,0.0,0.115,0.48,100.129,not_rap
Feel No Ways,0.582,0.677,7,-7.081,1,0.172,0.0312,6.6e-06,0.122,0.205,193.818,not_rap
Stuck On You,0.599,0.45,7,-7.431,1,0.0519,0.166,3.29e-05,0.112,0.144,157.969,not_rap
Sure Thing,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,not_rap
Die For You,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,not_rap
Spread Thin,0.621,0.411,6,-8.261,0,0.0333,0.0553,0.0,0.0816,0.357,110.113,not_rap
Tell Me It's Over (feat. Summer Walker & 6LACK),0.497,0.477,2,-7.285,0,0.116,0.373,0.0,0.114,0.389,121.524,not_rap
Please Do Not Lean (feat. BADBADNOTGOOD),0.67,0.41,1,-13.444,1,0.0381,0.241,8.55e-06,0.167,0.46,127.972,not_rap
I Hate U,0.535,0.388,7,-9.805,0,0.155,0.507,0.0,0.11,0.412,106.703,not_rap
"Yo Love - From ""Queen & Slim: The Soundtrack""",0.703,0.573,0,-9.032,1,0.0724,0.565,3.13e-06,0.0987,0.491,147.038,not_rap
From Time,0.739,0.491,1,-9.726,0,0.413,0.626,0.0,0.126,0.448,94.391,not_rap
Poison,0.689,0.394,2,-10.102,0,0.065,0.711,0.000905,0.0859,0.382,117.489,not_rap
LOVE. FEAT. ZACARI.,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,not_rap
PERSIAN RUGS,0.768,0.428,1,-8.156,0,0.0459,0.0489,0.000491,0.105,0.147,110.478,not_rap
Over,0.677,0.541,6,-6.057,0,0.0571,0.48,0.0,0.125,0.379,103.369,not_rap
Novacane,0.762,0.508,3,-9.112,1,0.0919,0.0584,0.00126,0.16,0.37,93.51,not_rap
Make Me Stay,0.739,0.371,4,-8.152,0,0.0511,0.358,4.27e-05,0.139,0.207,122.033,not_rap
Want U Around (feat. Ruel),0.571,0.443,0,-6.76,1,0.0451,0.3,6.95e-06,0.101,0.621,143.923,not_rap
Get You (feat. Kali Uchis),0.659,0.295,11,-8.528,0,0.0322,0.426,6.95e-05,0.0795,0.36,74.037,not_rap
Jungle,0.697,0.235,7,-8.651,1,0.0534,0.62,0.000144,0.107,0.378,99.947,not_rap
Inhale,0.498,0.705,9,-8.088,0,0.392,0.321,0.000441,0.414,0.571,156.519,not_rap
Lie Again,0.576,0.36,7,-9.321,1,0.0352,0.406,0.000103,0.161,0.166,126.836,not_rap
Smoking on my Ex Pack,0.466,0.676,8,-8.097,1,0.38,0.241,0.00318,0.224,0.333,81.227,not_rap
Sober,0.701,0.591,0,-6.646,1,0.0301,0.0979,2.53e-05,0.551,0.423,98.056,not_rap
Teenage Fever,0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,not_rap
The Falls,0.571,0.638,4,-6.207,0,0.0656,0.218,0.0,0.113,0.481,65.916,not_rap
Nobody But You,0.637,0.299,7,-11.314,1,0.0366,0.742,0.0,0.359,0.364,83.872,not_rap
Could've Been (feat. Bryson Tiller),0.45,0.352,1,-11.733,0,0.267,0.649,3.8e-06,0.249,0.408,102.679,not_rap
Talk 2 Me,0.464,0.126,11,-16.383,1,0.0647,0.816,3.67e-06,0.559,0.181,103.176,not_rap
Favorite Mistake,0.535,0.409,7,-9.517,0,0.0855,0.777,0.0,0.129,0.138,170.123,not_rap
more than i should (feat. jessie reyez),0.591,0.597,0,-6.769,0,0.141,0.186,0.0,0.1,0.552,143.948,not_rap
Immature,0.346,0.571,10,-5.724,0,0.0762,0.00718,0.0,0.135,0.463,82.67,not_rap
Pretty Little Fears (feat. J. Cole),0.61,0.458,9,-11.336,1,0.36,0.696,0.000103,0.0852,0.246,192.099,not_rap
How Would You Feel,0.64,0.592,11,-5.221,0,0.219,0.368,3.88e-06,0.127,0.52,106.812,not_rap
Coming Down (with Ari Lennox),0.813,0.6,9,-6.769,0,0.0602,0.115,1.34e-05,0.159,0.622,125.981,not_rap
Right My Wrongs,0.543,0.449,1,-8.065,1,0.0463,0.345,0.0,0.157,0.29,132.609,not_rap
