track_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Sucka Or Sum,0.828,0.539,1,-7.3,1,0.225,0.205,3.83e-05,0.305,0.68,125.05,rap
Jigsaw,0.75,0.714,1,-9.032,1,0.134,0.00296,0.000113,0.137,0.254,160.036,rap
King Snipe,0.818,0.526,1,-8.078,1,0.277,0.0103,0.0,0.146,0.531,125.061,rap
Conceited (feat. Lola Brooke & Maiya The Don),0.94,0.761,8,-4.408,1,0.0979,0.0741,1.89e-05,0.59,0.414,118.027,rap
23,0.852,0.487,2,-7.991,1,0.204,0.00424,2.18e-06,0.201,0.256,120.013,rap
Mad Max,0.898,0.64,5,-8.796,0,0.255,0.0212,0.0,0.0919,0.68,149.988,rap
IF I STOP NOW,0.636,0.656,11,-7.123,0,0.344,0.0219,0.0,0.13,0.362,75.962,rap
Umbrella (with 21 Savage & Young Nudy),0.822,0.788,11,-3.634,0,0.173,0.0838,0.000173,0.359,0.389,111.016,rap
Gang Nem (feat. EST Gee),0.89,0.408,11,-6.757,1,0.421,0.234,0.0,0.112,0.64,81.019,rap
Overdose,0.875,0.59,2,-8.106,1,0.271,0.0332,0.0,0.109,0.485,137.013,rap
Primetime,0.823,0.792,1,-5.477,1,0.24,0.00753,1.2e-05,0.375,0.334,119.943,rap
On Site,0.726,0.486,6,-9.213,1,0.379,0.04,0.0,0.766,0.572,159.983,rap
Magic Potion,0.716,0.504,3,-8.097,0,0.394,0.367,0.0,0.282,0.626,145.041,rap
Ain't On None (feat. 21 Savage),0.709,0.661,5,-6.02,0,0.245,0.0157,1.99e-06,0.0846,0.329,170.051,rap
Bestfrenn (feat. GloRilla),0.817,0.918,1,-3.749,1,0.297,0.0121,0.0,0.166,0.815,161.1,rap
Never Hating (feat. Young Thug),0.879,0.504,8,-8.284,1,0.271,0.0016,0.0,0.147,0.335,102.929,rap
AL Roker,0.753,0.424,6,-10.62,0,0.599,0.197,0.0,0.0694,0.714,162.878,rap
Quickie,0.87,0.506,2,-9.415,1,0.432,0.0901,0.0,0.145,0.347,137.921,rap
Trance (with Travis Scott & Young Thug),0.571,0.549,1,-7.38,0,0.404,0.18,0.0,0.168,0.447,119.497,rap
On Wat U On (with GloRilla),0.894,0.528,1,-7.623,1,0.466,0.0444,0.0,0.108,0.2,144.532,rap
If You Still Wit Me (feat. Lil Baby),0.519,0.766,2,-6.519,1,0.345,0.0906,0.0,0.287,0.449,100.281,rap
Where's Dexter,0.709,0.675,2,-5.915,1,0.284,0.0594,0.0,0.115,0.397,137.983,rap
Check (feat. Big Yavo),0.816,0.756,1,-5.062,1,0.197,0.0045,0.0,0.226,0.556,135.046,rap
Rich Flex,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,rap
Back Flippin,0.81,0.379,1,-6.77,1,0.27,0.00976,0.0,0.112,0.381,87.572,rap
Roll A opp,0.74,0.495,6,-12.981,0,0.407,0.0977,0.000495,0.226,0.491,141.944,rap
Hell Yeah,0.696,0.708,9,-4.737,1,0.0438,0.000113,0.0,0.444,0.287,142.026,rap
Brody Trippin (feat. Baby Drill),0.746,0.52,9,-9.28,1,0.442,0.0403,0.0,0.152,0.486,72.895,rap
Love For The Streets,0.799,0.733,2,-6.234,1,0.216,0.172,1.7e-05,0.332,0.753,146.051,rap
Where U From,0.844,0.724,2,-5.776,1,0.194,0.0668,0.0,0.313,0.815,102.018,rap
Texas,0.764,0.629,1,-5.985,0,0.268,0.0128,0.0,0.231,0.351,145.028,rap
Rubi Wayda,0.834,0.548,11,-9.925,1,0.307,0.000963,0.0,0.131,0.338,90.04,rap
I Got A Bag (feat. Hotboii),0.501,0.699,7,-4.733,1,0.248,0.171,0.0,0.123,0.671,85.267,rap
Black,0.612,0.795,2,-7.118,1,0.2,0.0475,0.0,0.48,0.29,75.04,rap
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],0.671,0.658,2,-5.567,1,0.309,0.189,8.66e-05,0.147,0.257,87.933,rap
Ain’t Right,0.8,0.375,1,-6.834,1,0.129,0.02,0.0,0.121,0.0561,139.985,rap
First Time,0.549,0.435,4,-11.923,0,0.385,0.0109,0.0,0.11,0.522,100.99,rap
No More Friends,0.645,0.842,5,-3.023,0,0.0983,0.00816,0.0,0.396,0.237,150.039,rap
Out of Time,0.868,0.562,11,-5.111,0,0.251,0.0111,0.0,0.0826,0.132,89.951,rap
Neighborhood Trapstars,0.854,0.626,2,-6.486,1,0.448,0.0511,0.0,0.34,0.132,100.135,rap
Writing My Wrongs,0.422,0.536,2,-6.605,0,0.053,0.405,0.0,0.204,0.719,151.206,rap
Gah Damn,0.807,0.519,2,-11.421,1,0.358,0.00171,0.0,0.365,0.139,139.991,rap
"One Mic, One Gun",0.756,0.916,1,-2.692,1,0.207,0.0351,0.0,0.241,0.458,149.961,rap
Pew Pew,0.902,0.544,7,-8.242,0,0.242,0.153,0.0,0.111,0.136,131.912,rap
Get Em,0.803,0.414,8,-12.382,1,0.572,0.154,0.0,0.12,0.543,79.929,rap
Da Rant,0.529,0.687,11,-7.142,1,0.28,0.0242,1.47e-06,0.129,0.222,82.283,rap
Win For Losin,0.506,0.918,9,-3.804,0,0.494,0.218,0.0,0.364,0.558,84.655,rap
Rich Flex,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,rap
a lot,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,rap
Bank Account,0.884,0.347,8,-8.227,0,0.35,0.015,7e-06,0.0871,0.376,75.016,rap
On BS,0.841,0.358,9,-8.368,1,0.591,0.0201,0.0,0.39,0.329,158.014,rap
Knife Talk (with 21 Savage ft. Project Pat),0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,rap
Ain't On None (feat. 21 Savage),0.709,0.661,5,-6.02,0,0.245,0.0157,1.99e-06,0.0846,0.329,170.051,rap
rockstar (feat. 21 Savage),0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,rap
hibachi (feat. Kodak Black & 21 Savage),0.681,0.522,5,-8.74,0,0.303,0.0191,0.0,0.415,0.219,172.946,rap
Child's Play (feat. 21 Savage),0.857,0.454,11,-10.002,0,0.269,0.155,0.000559,0.108,0.337,145.022,rap
